Uid,Song,Play count,Like count,Share count,Catagory,Publish time
123lidingding,599401,1779,95,3,R&B / Soul,2019/11/27
123lidingding,599400,39,1,0,R&B / Soul,2019/11/27
123lidingding,599399,2217,64,0,R&B / Soul,2019/11/27
123lidingding,599398,88,0,4,R&B / Soul,2019/11/27
123lidingding,599397,58,1,1,R&B / Soul,2019/11/27
123lidingding,599396,1308,119,1,R&B / Soul,2019/11/27
123lidingding,599395,106,8,1,R&B / Soul,2019/11/27
123lidingding,590555,96,6,2,R&B / Soul,2019/8/6
13lefty,675651,28485,"1,551",179,Hip hop / Rap,2022/3/6
13lefty,607678,1190,64,4,Hip hop / Rap,2020/3/13
1pfani,660406,130,24,5,Pop,2021/9/15
1pfani,646914,429,30,5,Pop,2021/5/23
1pfani,646539,80,10,1,Pop,2021/5/21
1pfani,632106,3618,237,34,Pop,2021/1/7
1pfani,622274,131,9,1,Hip hop / Rap,2020/9/1
1pfani,622273,93,12,1,Hip hop / Rap,2020/9/1
1pfani,615604,2047,85,9,Hip hop / Rap,2020/6/10
1pfani,602023,11482,444,13,Hip hop / Rap,2019/12/29
1pfani,595551,2022,108,9,Hip hop / Rap,2019/10/4
1pfani,594735,391,26,3,Hip hop / Rap,2019/9/19
1pfani,572961,286,25,1,Singer / Songwriter,2019/1/23
24hoshi_,665957,896,38,27,Hip hop / Rap,2021/11/24
24prbl,676598,45,8,4,Hip hop / Rap,2022/3/15
24prbl,671040,776,43,48,Hip hop / Rap,2022/1/28
24prbl,659740,142,9,5,Hip hop / Rap,2021/9/8
24prbl,651616,3534,176,39,R&B / Soul,2021/6/25
24prbl,651281,410,21,9,Hip hop / Rap,2021/6/21
24prbl,636730,360,12,1,Hip hop / Rap,2021/3/1
24prbl,632662,262,13,12,Pop,2021/1/11
24prbl,630782,302,16,8,Hip hop / Rap,2020/12/24
24prbl,628447,378,25,8,Hip hop / Rap,2020/11/20
24prbl,628170,219,16,2,Hip hop / Rap,2020/11/16
24prbl,625429,2386,103,17,Hip hop / Rap,2020/10/10
24prbl,624368,187,8,8,Electronic,2020/9/29
24prbl,619470,3203,91,30,Hip hop / Rap,2020/7/30
24prbl,618281,2905,139,27,Hip hop / Rap,2020/7/12
24prbl,616576,59,3,0,Hip hop / Rap,2020/6/20
24prbl,614127,11427,429,96,Hip hop / Rap,2020/5/23
24prbl,611255,182,4,0,Hip hop / Rap,2020/4/17
24prbl,608582,5555,144,28,Hip hop / Rap,2020/3/23
3llerymusic,676143,419,17,9,Hip hop / Rap,2022/3/10
3llerymusic,669035,1280,74,26,Pop,2022/1/3
3llerymusic,656282,933,47,14,R&B / Soul,2021/8/5
3llerymusic,652995,2673,169,20,Hip hop / Rap,2021/7/6
3r2music,564233,2896,110,2,ACG,2018/8/23
3r2music,550594,2892,92,0,Electronic,2018/3/9
3r2music,550593,1593,28,0,Electronic,2018/3/9
3r2music,550592,893,9,0,Electronic,2018/3/9
3r2music,542031,2216,44,1,Hip hop / Rap,2017/11/20
3r2music,542028,980,20,0,Electronic,2017/11/20
3r2music,542025,387,19,0,Electronic,2017/11/20
3r2music,378144,1318,24,1,Electronic,2016/11/18
3r2music,378143,986,15,0,Electronic,2016/11/18
3rdAPark,645998,34290,"1,147",320,Hip hop / Rap,2021/5/18
4instasia,679072,460,54,39,Electronic,2022/4/1
4instasia,668878,815,53,50,Electronic,2022/1/1
4instasia,636378,1532,61,83,Electronic,2021/2/24
4instasia,630019,3623,121,103,Electronic,2020/12/12
510864772,582923,15,1,0,Hip hop / Rap,2019/5/26
510864772,567363,13485,175,4,Hip hop / Rap,2018/10/22
510864772,565628,28,2,0,Hip hop / Rap,2018/9/17
510864772,564353,8,0,0,Hip hop / Rap,2018/8/25
510864772,563687,54,1,0,Hip hop / Rap,2018/8/15
510864772,559331,1,0,0,Pop,2018/6/30
510864772,559329,1,0,0,Pop,2018/6/30
510864772,553495,10,1,0,Hip hop / Rap,2018/4/9
510864772,548384,69,3,0,Hip hop / Rap,2018/2/12
510864772,543982,3971,139,10,Hip hop / Rap,2017/12/11
510864772,543980,2160,61,2,Hip hop / Rap,2017/12/11
510864772,543978,1083,17,0,Hip hop / Rap,2017/12/11
510864772,526651,112,3,0,Hip hop / Rap,2017/9/18
510864772,518451,607,27,1,Hip hop / Rap,2017/8/23
51weeeeeeeeee,680480,66,5,2,Soundtrack / New age,2022/4/10
51weeeeeeeeee,675592,30,4,0,Dance,2022/3/5
51weeeeeeeeee,672009,33,4,2,Pop,2022/2/9
51weeeeeeeeee,671924,140,3,0,Hip hop / Rap,2022/2/8
51weeeeeeeeee,671922,32,3,0,Hip hop / Rap,2022/2/8
51weeeeeeeeee,671825,25,4,1,Dance,2022/2/7
51weeeeeeeeee,671749,47,8,3,Pop,2022/2/6
51weeeeeeeeee,670957,232,22,5,Electronic,2022/1/27
51weeeeeeeeee,670107,40,3,1,Dance,2022/1/16
51weeeeeeeeee,668692,49,7,2,Electronic,2021/12/30
51weeeeeeeeee,668558,57,7,5,Electronic,2021/12/29
51weeeeeeeeee,657993,683,24,6,Pop,2021/8/21
51weeeeeeeeee,657991,87,4,0,Dance,2021/8/21
51weeeeeeeeee,657995,65,3,1,Soundtrack / New age,2021/8/21
51weeeeeeeeee,657992,51,4,0,Electronic,2021/8/21
51weeeeeeeeee,657990,42,4,2,Electronic,2021/8/21
51weeeeeeeeee,657994,67,8,2,Alternative,2021/8/21
51weeeeeeeeee,653350,1702,70,10,Hip hop / Rap,2021/7/9
